Number,CommentText,Trinary,Source
31,"giving credit where credit is due, the python 1-liner is from http://unix.stackexchange.com/questions/55913/whats-the-easiest-way-to-find-an-unused-local-port#comment271991_132524 - thanks for that, @lekensteyn !",1,StackOverflow
32,I read through the 'Core Audio Mailing List' but I can't understand what this 'errno' is. Where do you declare it?,0,StackOverflow
33,That plugin is only for ST 2.,0,StackOverflow
34,Current answer is incorrect.,-1,StackOverflow
35,"The correct way of importing the dictionary into a DataFrame is `df = pd.DataFrame.from_dict(dic, orient='index')`. And then it can be exporrted to a file with `df.to_csv('test.tsv', '\t', header=False, index=True)`",0,StackOverflow
36,"It was me who reported the chrome bug, and I can confirm that it works perfectly in firefox. Note that there is a bug in the above code: it doesn't handle the case where the sourcebuffer is busy, so appendBuffer could be failing.",-1,StackOverflow
37,thank you for sharing!,1,StackOverflow
38,@tripleee red herring?,0,StackOverflow
39,"It's additional and constructive since the user is posting this as a ""bash question""  No need for a down vote, as the path was the issue.",0,StackOverflow
40,As of the date of this comment you can use beta:&#xA,0,StackOverflow
41,FYI : this only do convert plain js object to query string.If you need to resolve for nested objects go with some recursive strategy,1,StackOverflow
42,"Can you elaborate on ""Note that GCD will also sometimes use the main thread for a block added to some other queue."" Does this relate to UI type things?",-1,StackOverflow
43,"The issue is the ""AnyObject"" - the correct Swift 3 signature uses ""Any"". Don't use the Xcode suggested solutions for silencing the warning.",0,StackOverflow
44,"Good answer, it's a good example with re-using the same form in different use-cases.",1,StackOverflow
45,"The estimatedRowHeight is not supposed to be UITableViewAutomaticDimension, it's supposed to be a real number to help the system figure out an estimate for the row height before the autolayout determines a dynamic row height.",1,StackOverflow
46,This works! Saving all files and then check-in.,1,StackOverflow
47,"You also won't be able to dismiss a view controller that has been set as a rootviewcontroller. So, if:",-1,StackOverflow
48,Thank you for the note,1,StackOverflow
49,"sdkmanager is not downloading any platform for me. It says ""done"" but when I check back, it is not there.",0,StackOverflow
50,Does it work still? It doesn't work for me in vlc.,0,StackOverflow
51,Where does JsonConvert come frome?,0,StackOverflow
52,@sgonzalez His answer works for Swift 3. I was using legacy Swift (2).,0,StackOverflow
53,Watch out the retain cycle on your block! You should use `[weak self]`,-1,StackOverflow
54,@zzzzBov Thanks a lot man for your answer. Already spend more than 5 hours behind this.,1,StackOverflow
55,"I am using 2.1.1, but the problem still persists....",-1,StackOverflow
56,This should be the accepted answer,0,StackOverflow
57,Now it can be install with ```pip install https://github.com/pr4bh4sh/python-delayed-assert```,0,StackOverflow
58,You answer the best! This is what I need!,1,StackOverflow
59,How does this solve the issue?  You still can't disable the automatic download of artifacts in the environment itself.. unless I am mistaken.,-1,StackOverflow
60,this doesn't really answer the question but actually solves the problem I had when stumbling upon this question,-1,StackOverflow
61,"Long story short, check your project file and make sure there's nothing that holding up the build. Mine had a lingering Antlr runtime requirement that had been removed.",0,StackOverflow
62,Wow thank you you saved me several hours! This is not at all intuitive and such behaviour could have been hadled by Google..,1,StackOverflow
63,"Thanks a lot, it worked for me!!!",1,StackOverflow
64,Ive updated to git client plugin 1.21.0 and git plugin 2.5.3 but nothing changed. I am missing something?,0,StackOverflow
65,that might drive you crazy if you have a zillion coffee files and have no idea which one is in error!,-1,StackOverflow
66,"To use `require`you have to use a proper module loader, in this case I think used commonJS for more details..&#xA",0,StackOverflow
67,The network is needed if there are dependencies +1.,0,StackOverflow
68,no you can http://stackoverflow.com/questions/20052617/use-multiple-local-strategies-in-passportjs,0,StackOverflow
69,"@devoncrazylegs i Have you're same problem but i'm unable to resolve it. I have the same error in the log but i have give two different name in the selector to thw two different components, what do i have to do? split my application in multiple modules?",-1,StackOverflow
70,This is simple and wonderful! Actually sometimes it seems to be the only way around the crash sometimes. Particularly when you want to grab a huge iPad pro screenshot for the store...,1,StackOverflow
71,Brilliant - this makes perfect sense,1,StackOverflow
72,You should describe what this would achieve. Posting a piece of code without explanation is not very helpful.,-1,StackOverflow
73,An interesting solution - a bit weird but original :-),-1,StackOverflow
74,Why not install CUDA? I would like to take advantage of my GPU. Isn't that faster?,0,StackOverflow
75,"This no longer works. Seems like the ""tabs-above"" class has changed its name to ""tabbable"" now - changing that class selector fixes it.",1,StackOverflow
76,Both @Kamil Smrčka and cuddlecheek are correct.,1,StackOverflow
77,The reason the JavaScript isn't firing is because the page hasn't finished loading.,0,StackOverflow
78,"The description from the documentation (https://developer.xamarin.com/api/event/Xamarin.Forms.WebView.Navigated/) for the Navigated event is: ""Event that is raised after navigation completes.""",0,StackOverflow
79,So in the above answer Kamil is subscribing to the Navigated event (in this case the page load complete event) and executing his JavaScript after it fires.,0,StackOverflow
80,"There is no `router` in the rootState by default. Injecting it manually would also be overkill, as the router instance is mostly immutable, except for the `route` itself, which is part of the state if using vuex-router-sync.",-1,StackOverflow
81,"For me, port 25 is working. Thanks",1,StackOverflow
82,"if i use this method, i always get a full page refresh :(",-1,StackOverflow
83,can u set a example how to push id thanks inside ondatachange,1,StackOverflow
84,I changed to using `${project.build.testOutputDirector}` and use `<scope>runtime</scope>`. Then I was able to remove the `systemPath` and everything works well.,0,StackOverflow
85,Worked perfectly for me on opencv 3.2 for C/C++ as well.,1,StackOverflow
86,Remember that the opencv libraries are installed to /usr/local/lib if following the installation instructions online.,0,StackOverflow
87,Same problem over here @vanthome,-1,StackOverflow
88,"I dont get it, in Manifest what needs to be added actually? Can you give complete example??",0,StackOverflow
89,"Thank you, this helped immensely.",1,StackOverflow
90,Although I do wonder if I am writing my tests correctly if I have do things like this just to test whether my repository methods actually return the data I need. Are there any reasonable alternatives to mocking DbSet?,-1,StackOverflow
91,"The thread is supposed to ""run until the JVM is stopped"", not ""until all other threads died"".",0,StackOverflow
92,Just be sure to do this in a closure to isolate `thisScript`.,-1,StackOverflow
93,@Brandon The above method is not giving any success method. could you tell me how to take success event using above method ?,1,StackOverflow
94,This seems to be the most up to date answer - thank you.,1,StackOverflow
95,"inserting a placeholder row solved this for me, thanks.",1,StackOverflow
96,If you are using VS make sure the minified version of Bootstrap is the new version.  The update does not create the new minified file.,0,StackOverflow
97,"Tried various things, that seem the only way to make things work ... Tricky, but the job's done !",-1,StackOverflow
98,"helpful for some cases.. but tests will fail. and not the best choice, still +1",-1,StackOverflow
99,But what if I use queries for deleting like WHERE date_added > now() - '1 month'? Is index useful in this case? Thnx,1,StackOverflow
100,"Kind of `extension function` in `javascript`. Nice to know though, but the answer doesn't relate to my question..",1,StackOverflow
101,change to *import AVKit - this is awesome,1,StackOverflow
102,**Cloudflare in my case too**. Disabling `DNS and HTTP proxy` (From `orange` to `grey` cloud) under `DNS` settings solved the issue.,0,StackOverflow
103,Michael - You just need to write to stdout using echo from Mac bash script.,0,StackOverflow
104,Make sure you surround the command in quotes like this echo '##vso[task.setvariable variable=xcode.buildNumber,1,StackOverflow
105,"Great answer, but follow-up question... How might I include the globally installed npm packages in the path as well?",1,StackOverflow
106,Good true answer.,1,StackOverflow
107,"Still debating whether to add a default image or not. Really wish Google would specify this in their AMP guides, since the Webmaster Tools will continue treating these missing images as ""issues"" of type ""Info: Invalid structured data element"" forever, clogging up my review of actual errors in that space. Frustrating for old posts (that I will never go back and fix) and new posts without any meaningful image.",-1,StackOverflow
108,"A link to a solution is welcome, but please ensure your answer is useful without it: [add context around the link](//meta.stackexchange.com/a/8259) so your fellow users will have some idea what it is and why it’s there, then quote the most relevant part of the page you're linking to in case the target page is unavailable. [Answers that are little more than a link may be deleted.](//stackoverflow.com/help/deleted-answers)",1,StackOverflow
109,"I needed to get a <form> from the component's template, but within the $onInit() method the form is undefined.",0,StackOverflow
110,"If I access it inside a $timeout (100ms), then I can get it properly.",0,StackOverflow
111,"I do not like this approach, but accessing the form inside $onInit() is not working for me as it seems not all the bindings are resolved.",1,StackOverflow
112,"As @shane-hsu points out, there is a built-in `json` pipe, as there is in Angular 1.",0,StackOverflow
113,Johnpapa's guide on Angular 1.x does not refer to the new `angular.component` even once. That part of the question is not covered by this answer. I'll try to come back later when I have an answer that covers that too.,1,StackOverflow
114,"this is where i get null pointer because data always returns null, when using third party camera @SANAT",0,StackOverflow
115,see: http://stackoverflow.com/questions/35385492/deploy-azure-website-and-webjobs-in-same-sln-using-vso-error-there-can-be-on,-1,StackOverflow
116,i got that you provided some ip 172.20.128.2 to the container.But how can i access the website running in this container at ip 172.20.128.2  .I do not want to do port forwarding and using host ip.,0,StackOverflow
117,using this in xcode 8.2.1 i am getting nil as result...,0,StackOverflow
118,@Tseng I got ArgumentNullException due to the routeData is null when Moq try to construct HttpContext. I'm using asp.net core 1.1 What should I do?,-1,StackOverflow
119,@koufa you have to put the `Context` _somewhere_. How else will you interact with a `Service`? What would you recommend?,0,StackOverflow
120,"@JulianMclean not sure if you used this Bohemian split or not, but I played around with it and found it can fail for some values. For example, with ""/ABC/DEF/GHI/"" it will recognize ABC as a codeword but not GHI.",-1,StackOverflow
121,This would throw the following error: `undefined method 'max_by' for #<Class:xxxxxxxx>` since a scope is not the same thing as an array.,-1,StackOverflow
122,"Scopes are supposed to return an ActiveRecord::Association. &#xAAs far as the max_by method call is concerned, it could be simplified as `max_by(&:version_number)`.""",-1,StackOverflow
123,Some sort of description or explanation would be helpful...,1,StackOverflow
124,"I get the following error, Error response from daemon: Cannot kill container –signal=USR1: No such container: –signal=USR1.  I made sure to enter correct container by ID and Name, both same error.",-1,StackOverflow
125,"This doesn't work for me, I think you need to give more information in your answer.",0,StackOverflow
126,"There is a special case flag for 404 errors, passing decode404 = true in the Feign.builder() will return 404 and nothing else.",-1,StackOverflow
127,how to decide if there is a need to call .newData or .noData? I have three labels to fill from core data. If nothing is filled how do I compare fetched info with displayed yet?,0,StackOverflow
128,"(Nice example, but the question is from 1.5 yrs ago, and seems as though it was answered?)",0,StackOverflow
129,Doesn't work here.,0,StackOverflow
130,"in the case of a link with an icon (i.e. facebook), hidden by `aria-hidden=true`, should we add both the `title` attribute and a `span` with `sr-only` (by using bootstrap)? Screen-readers repeat both info, don't they?",1,StackOverflow
131,This could likely be extended into a custom terminal command that takes as a value the current path or something like that.,1,StackOverflow
132,"Hello, what's your source for ""0x1C to 0x1F and the byte at offset 0x24.""?",-1,StackOverflow
133,you can use spring boot jdbc starter instead of jpa if you don't have classes annotated with @entity,0,StackOverflow
134,"This is not a bug, but a missing feature that we are working on.",-1,StackOverflow
135,It's one of the gaps that is called out in this blog:  https://dev.office.com/blogs/microsoft-graph-or-azure-ad-graph,0,StackOverflow
136,"This didn't work for me.  Like Travis, I had to revert back to 0.39.0 then install pod again.  The pod libraries were working for my arm64 devices, but when I tried to run on my armv7 (iPad mini) the architectures just weren't getting built.  So this was definitely an issue with the newer version of cocoapods.",-1,StackOverflow
137,Format your code by indenting 4 spaces.,0,StackOverflow
138,Whoa man! This is gold. I don't know why I did not accept this answer back then. Thanks a lot!&#xA,1,StackOverflow
139,"Also, why don't you make the video public?",0,StackOverflow
140,Don't forget to call `try context.save()` as mentioned in another answer.,1,StackOverflow
141,"Tks Stefan, i saw this too. Updated here recently and no more problem with this question.",-1,StackOverflow
142,You could also use the `EXCEPT` set operator to find any missing results,0,StackOverflow
143,"Same on my side, running into this problem with latest realm version",-1,StackOverflow
144,Thanks man! awesome,1,StackOverflow
145,"I'd like to take you out for a drink, sir.",1,StackOverflow
146,"Although OpenIdConnectResponseType.Code didn't do the trick, OpenIdConnectResponseType.IdToken seems to have done! Thank you",-1,StackOverflow
147,Thanks for youtube link,1,StackOverflow
148,"@NadanParinday How do you manage player in every screen , I need the same scenario in my application",0,StackOverflow
149,ok but the %u200E is appears on the url is there any solution for not make it appear,0,StackOverflow
150,What is User here?,0,StackOverflow
151,A little improvement to your logic:&#xA,1,StackOverflow
152,"but your answer at http://stackoverflow.com/a/40364078/492 does, thanks.",1,StackOverflow
153,"Hi Benjamin. I did not try any other region than UK. and every time the first upload last around 1 minute, then the others were almost instantly. What I finally implemented was to include a progressdialog that shows the progress while the upload was in progress..",0,StackOverflow
154,here it is the implementation https://github.com/casertillo/AndroidProjects/blob/master/TutumpDev/app/src/main/java/com/tutump/tutumpdev/Activities/EditProfileActivity.java#L300 It is the method starting on line 300. Hope it works for you.,1,StackOverflow
155,How can I assign to a new variable called session.dialogData.myEntities the object containing all the entities recognized by the LuisRecognizer.recognize() method? I need to store this entities somewhere so I can use them again in the waterfall before the dialog ends...,0,StackOverflow
156,"Thanks for the explanation @Bergi, now understand along with the madox2 code above.",1,StackOverflow
157,It might not be just because of batch size. Are you using any queue to make input batches (like `tf.train.shuffle_batch`)? If so check the capacity of the queue.,1,StackOverflow
158,It should be emphasized that this will quickly cap out memory in traditional Spark RDD scenarios.,0,StackOverflow
159,"If you delete selected migrations (say all migrations after `__init__`), then run `makemigrations` and see a message like `You have 1 unapplied migration(s)`, you can run `./manage.py migrate --fake` to 'fake' the migration (though other team members will get the full migration).",-1,StackOverflow
160,Hmmm... I've seen this in a number of places but it's not working for me - I still get a 404 - the fallback route seems to never hit.,1,StackOverflow
161,How do you read it back afterwards? Do you have to do something different than the usual?,0,StackOverflow
162,"I implemented the Same code but I cant get files of defined max size, also the rolled files are doubling in size subsequently for each file, am I missing something.",0,StackOverflow
163,ConnectionLostException:   Raised when the connection for a STOMP session is lost rather than closed.&#xAI use it.&#xA&#xA,0,StackOverflow
164,Reference:&#xA,0,StackOverflow
165,"How would I open the url without actually opening Safari? How do I get the url to ""open"" in the background? Please answer my question at: http://stackoverflow.com/questions/43686252/swift-3-and-json-updating-the-database-by-running-a-url-in-the-background.",1,StackOverflow
166,This is silly. Thread 1 could be executing *anything* that modifies `s` and this would be a race. This is nothing about `unique` and simply about the fact that you really don't want threads to share instances of `shared_ptr` but instead to each have their own instance that references the same underlying object.,-1,StackOverflow
167,works for me! thx,1,StackOverflow
168,"Boom. Might not have answered the question, but did the trick in replicating behavior seen on an older version of iOS",-1,StackOverflow
169,"This seems to perform the action belonging to the menu item, but doesn't cause the menu item to appear selected. I thought the latter was what the OP wanted, but I'm not positive.",-1,StackOverflow
170,The issue is with missing images and as such `up` and `down` commands don't work. The correct answer is to use `docker-compose rm` to clear images and `build` -> `up` again.,0,StackOverflow
171,"This should be the accepted answer, since this is the general answer to the original question. Of course fixing the real cause of the error is important, but that is not the point here.",-1,StackOverflow
172,doesn't work with current versions,0,StackOverflow
173,"This should be the first thing to try - I'm using fastlane to deliver and hit this problem yesterday. Today I just re-ran fastlane which auto-bumped the number and it succeeded, no other changes.",1,StackOverflow
174,thumbs up for this solution thanks :D,1,StackOverflow
175,It not concern orientation!,1,StackOverflow
176,I assume you still have to reload all components. Have you tried?,0,StackOverflow
177,That is a sweet diagram :),1,StackOverflow
178,[caniuse](http://caniuse.com/#feat=css-has),0,StackOverflow
179,"@PareshThakor Maybe like this: <key>NSAppTransportSecurity</key>&#xA		<key>NSAllowsLocalNetworking</key>&#xA		<true/>&#xA	</dict>",1,StackOverflow
180,"I'm curious about the diff between the two ways (""static function of the QSqlDatabase"")?",-1,StackOverflow
181,Where is Jboss server runtime > Deployments > Manage Deployments in eclipse?,0,StackOverflow
182,"What is so strange is that I was running npm start for a while with no problems, and then started getting this error.",-1,StackOverflow
183,"Fortunately, your fix worked for me.",0,StackOverflow
184,Please elaborate further and explain why this works.,1,StackOverflow
185,"I downloaded and installed 14.0.60413.0 (April 2016 preview) and I still get ""Object reference not set to an instance of an object"" from View Code in Visual Studio 2015. Am I doing something wrong? Should that work?",-1,StackOverflow
186,I think this answer is no longer valid as of Angular2 rc6,0,StackOverflow
187,"Thanks for your help. Unfortunately, multiple domains are not allowed as cors origin value. Neither is `*`. And you can't have multiple cors origin headers in one response... This effectively means you cannot use static config like this if you have multiple domains (as most sites have that support both naked domain urls and ones starting with *www.*)",-1,StackOverflow
188,I have followed steps as per given video. let me know on following points&#xA2)share basic demo for testing,0,StackOverflow
189,nice! I was trying to find something like that. thank you,1,StackOverflow
190,Having it as two separate applications is easy but the question should be is can one share the Authentication and Authorization (ASP.net core Identity)with both so one only signs in once,0,StackOverflow
191,"You know, you are brilliant ..! Every night, before sleep, I open this question and take a look at your answer and enjoy `:-)` ..! Very tricky it is `:-)` .. Thank you Bro ..!",1,StackOverflow
192,This appears to be broken for a function that accepts `**kwargs` in addition to regular arguments.,-1,StackOverflow
193,How can I get this to use the same key and pem files from my local machine regardless of which app or sample code I'm running?,-1,StackOverflow
194,"@Maher Nabeel, didn't find exactly quantity of 10 for the audience, but seems that Dmila Ram was right, there is a threshold in displaying some metrics in order not to reveal individual users and their personal featues.",0,StackOverflow
195,Here is what it is said: Data thresholds&#xA,0,StackOverflow
196,True but I would argue that this solution is worse reason being is that it only works with distinct intervals binding your HTML and CSS together.,-1,StackOverflow
197,The solution I provided allows the HTML to be whatever it wants and the all the actual layout is done via CSS keeping the separation of layers.,0,StackOverflow
198,"Applying your solution, it looks like in ASP .Net Core the option `options.Password.RequireNonAlphanumeric = false` and `options.Password.RequireNonAlphanumeric = false`.""",1,StackOverflow
199,"this isn't very explanatory, how exactly can you do it?",0,StackOverflow
200,"thanks for highlighting the ""First, define the permission (as you did in your post) in the manifest, otherwise, your request will automatically be denied"". Mine was like this&#xA<uses-permission&#xA        android:name=""""android.permission.GET_ACCOUNTS""""&#xA        android:maxSdkVersion=""""22""""&#xA        tools:replace=""""maxSdkVersion"""" />&#xA&#xAI changed the """"22"""" to """"23""""""",-1,StackOverflow
201,"@asaini007 The method is there but ... only available from API 21. By the way, it's not working all the time.",0,StackOverflow
202,"@Maximus No, the code I provided works fine, but the problem was that `fs.readdir(...)` and `require(...)` were looking in different places, which is why the `fs.readdir` call used the path `./modules` while the require used `../modules`. `fs.readdir('../modules'...)` does not work.",1,StackOverflow
203,span.ellipsis:after {&#xA},0,StackOverflow
204,"Very convoluted (thank you Microsoft) way of getting IP addresses, but works and saved my day.&#xA&#xA	1",,StackOverflow
205,This just doesn't answer the question.,0,StackOverflow
206,"The second approach gives you better flexibility for UI. i.e. *ngIf=""i < 11 || showAll""",0,StackOverflow
207,Have you made any progress in recreating the iOS10 Maps in your project?,0,StackOverflow
208,"Building on this answer I switched to detecting the normal line ending for the platform instead of having to specify the environment, so: `""linebreak-style"": [""error"", (require(""os"").EOL === ""\r\n"" ? ""windows"" : ""unix"")]`",-1,StackOverflow
209,please comment what's wrong give down voted,-1,StackOverflow
210,"onChange passes an event object, to get the text you should use `event.nativeEvent.text`",0,StackOverflow
211,If it correct please vote up&#xA,1,StackOverflow
212,"Whilst the answer is not some native React process, this process has been the accepted answer for similar things like Angular JS 1 for a long time (due to performance and brevity). Upvoted",1,StackOverflow
213,"Unfortunately that (label=""X"") didn't work out. I wanna replace 'A' by ""Start' and 'B' by 'End'. You can test http://plnkr.co/edit/YC2z4xH9ytdj0qc9w3lT?p=preview&#xA",1,StackOverflow
214,"I asked about the same question yesterday http://stackoverflow.com/questions/43955310/rails-sum-on-associationrelation-attribute-is-incorrect-if-association-has-limit. Even the 'from' attempt is not working in rails 5, at least with a relation or PG. Guess there is not an answer, just use `relation.pluck(attr).sum`",-1,StackOverflow
215,@amagain you should change the accepted answer to this,0,StackOverflow
216,"This worked for me, I could see an exception barfed out on the command line, which got me moving.  Much obliged.",-1,StackOverflow
217,Thank You Michal_Szulc : This helps me to read a external Application.groovy file but external file configuration are not applicable if same configurations are present in application.yml file. Can you please help me on this.,1,StackOverflow
218,"@Andrew L. Actually, you can have an infinite amount of elements with the same 'id'. It is valid HTML. Nothing will stop you from doing so. It is just not handy for CSS and Javascript selecting ",0,StackOverflow
219,I was wondering what if I would like to asynchronously return something from the `map` inside `method`. I mean `return String.valueOf(value),1,StackOverflow
220,Is it possible to override the post method of a ViewSet as well?,0,StackOverflow
221,"It's working on 1.10, I'm using it with `QuerySet.defer()`, thanks!",1,StackOverflow
222,"So I followed all your guys comments in the questions, but I am still having issue. It is not finding PIL.",0,StackOverflow
223,"I'ver tried in WebStorm 2016.2.3, but this solution doesn't work.",0,StackOverflow
224,I know its late reply but it will help others.. If you use `margin-left: auto` then no need to use `float: right` property....! In my case it worked without it..,1,StackOverflow
225,Thanks! Raghavan for president!,1,StackOverflow
226,worked for me when I tried to rename apk automatically with current date,0,StackOverflow
227,"""TypeScript itself not sensitive, but this compiled to JS."" what does this mean? tsc is not compliant?",0,StackOverflow
228,"`$(this).val()` should do the same, with less code.",0,StackOverflow
229,Just remove the ' around the `default_value` and it would use a variable called default_value,0,StackOverflow
230,I too am trying to figure out how to send to Loggly *and* have local logs.,0,StackOverflow
231,"This doesn't answer the question because it only gives an example of how to find data fitting a particular pattern, NOT how to extract all data.",0,StackOverflow
232,Thanks! This is the only solution that worked for me for Heroes Tour using the angular cli.,1,StackOverflow
233,This worked like a charm. Thank you.,1,StackOverflow
234,Yes uninstalling 6.9.9 and installing 6.9.8 worked for me,0,StackOverflow
235,"@GregoryArenius: I did some playing with that example, it creates/replaces the function ""inner"" (in same scope as ""outer"" function) every time the function ""outer"" is called, hence weird errors.  It isn't an ""inner function"" at all, and it it has no access to the inner scope of ""outer"" either.",-1,StackOverflow
236,"aka, a programmatic solution",0,StackOverflow
237,Is there a way to place the `Outlet` template (the one with the `let-item`) in another component? - not directly inside `my-component`?,0,StackOverflow
238,"your piece of code is not working as you expect or you didn't read the question right : `string.split('()')` will split a string like ""left () right"" but not ""(left (right))""",1,StackOverflow
239,So this issue is due to O.S Build target? I have the same issue here.,0,StackOverflow
240,"how does enconding: ""myBody"" relate to any other code in this example? this answer is uncomplete althought accepted.",0,StackOverflow
241,"<select  asp-for=""CountryId"" asp-items=""@(new SelectList(@ViewBag.MovieType,""Id"",""FullName"") )"">&#xA    </select>""",0,StackOverflow
242,"The above is missing code and has some discrepancies, like 'removeLabel'",1,StackOverflow
243,instead of 'removeLabel'.  See [here](https://github.com/baloodevil/angular2-custom-form-control) for a complete working example.,0,StackOverflow
244,Thanks Thierry for putting the initial example out there!,1,StackOverflow
245,How could I add more names to the filter? ..like keep Lisa AND Tom?,1,StackOverflow
246,"if blank line between rows is an issue. just replace ""w"" with ""wb"" in file write object.",0,StackOverflow
247,What the heck does this mean? What is this weird syntax???,-1,StackOverflow
248,I now have a working Raspberry Pi again - apologies for the delay.,-1,StackOverflow
249,"@mark-setchell Your solution is very close, though it outputs ""Delivered By:"" and a blank line when it first starts, and after each address it also prints a blank line.",0,StackOverflow
250,How can I remove those two features?,0,StackOverflow
251,"I also have a new requirement to put the Customer Reference number at the start of each line, so in the first example it would start `12400 / 203 1, First Last, HouseName, Street, Town, County, Postcode` - is that possible?",0,StackOverflow
252,"This is a comment, not an answer.",0,StackOverflow
253,I'm quite late with my reply but thank you very much for the feedback.,1,StackOverflow
254,this helped me +1,0,StackOverflow
255,"Hey, great solution and it works like a charm.",1,StackOverflow
256,Do you also have a code snippet on how this would work with Android?,0,StackOverflow
257,Thanks for your answer. You saved my day brother.,1,StackOverflow
258,**Thanks** for the _detailed answerrr_ Helped me a lot,0,StackOverflow
259,@anonymous your solution is good.,1,StackOverflow
260,"How to use it when one uses `NestedScrollView` with `CoordinatorLayout` and `AppBarLayout`, any idea?",0,StackOverflow
261,Any pointers to info on this please? My MVC + JPA tests keep trying to connect to the database before I can start it by calling dbService.start().,1,StackOverflow
262,"@Lichtbringer There is a workaround, check my answer",0,StackOverflow
263,How can I do this once I've already created my project?,0,StackOverflow
264,This is nothing todo with this question? It's about displaying a profile not displaying and deleting votes,0,StackOverflow
265,"This simply doesn't work. Just try running ``[[ `tmux -V | cut -d' ' -f2` -lt 2.1 ]]`` in bash. I get `-bash: [[: 2.2: syntax error: invalid arithmetic operator (error token is "".2"")`. The reason is that these test operators don't handle floating points, for which you need `bc`.",-1,StackOverflow
266,Have you guys ever managed to pack a UWP as standalone exe?,0,StackOverflow
267,"I have created a custom extension as 'public class RunningTime extends FunctionExecutor { ..... } ' as per the doc you have suggested. After building the jar i have placed it in 'dropin' folder. ""sample.siddhiext"" file entry is 'RunningTime=com.siddhi.sample.RunningTime'&#xA",0,StackOverflow
268,Appears to be available for Windows Professional too.,0,StackOverflow
