Number,Content,Trinary,Source
199,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,0,Twitter
200,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,0,Twitter
201,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,-1,Twitter
202,is a bad friend,-1,Twitter
203,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,1,Twitter
204,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,-1,Twitter
205,@aiderushton ill be over in an oir,-1,Twitter
206,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,0,Twitter
207,would wish the severe migrains would stop!!! doc's prescriptions arent working,-1,Twitter
208,@bobbyedner i missed the game,-1,Twitter
209,@moggy99 No internet last night,0,Twitter
210,@tiffalo cuz airlines are super lame.,-1,Twitter
211,@lenje - Still a pity it comes with no lamb though,-1,Twitter
212,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,-1,Twitter
213,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",0,Twitter
214,I'm so very tired...and have insomnia.,-1,Twitter
215,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,1,Twitter
216,@yelgiuQnayR airport? and you didnt show up tonight homo!,-1,Twitter
217,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",-1,Twitter
218,@MrRathbone what about me,0,Twitter
219,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",1,Twitter
220,people in my house do not know how to close doors,0,Twitter
221,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,0,Twitter
222,out with @lizzziemonster &amp,1,Twitter
223,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,-1,Twitter
224,Had to cancel wow for now,1,Twitter
225,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,0,Twitter
226,@fairyfroggie But yeah...I'm sad about my &quot,-1,Twitter
227,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",-1,Twitter
228,@__sugar oh no  i am always here,0,Twitter
229,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,1,Twitter
230,@ poll : was trying to get it to work in a powerpoint to no avail.,0,Twitter
231,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",1,Twitter
232,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",1,Twitter
233,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",-1,Twitter
234,Up late with nothin 2 do.....,0,Twitter
235,i think the vog is making me sicker than i think. feeling slightly achy,0,Twitter
236,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",1,Twitter
237,i am doing homework it sux big time maths is the worst!!!!!!,-1,Twitter
238,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot",0,Twitter
239,#3wordsaftersex it never started...,0,Twitter
240,sometimes i wish things could go back to the way they were the beginning of last summer,0,Twitter
241,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",-1,Twitter
242,@tarng Trudy's off Burnet...the one up north that no one goes to,0,Twitter
243,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",0,Twitter
244,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",0,Twitter
245,i'm sooooooooooooo confused,-1,Twitter
246,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp",-1,Twitter
247,"Work day 7 of 7,",0,Twitter
248,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,0,Twitter
249,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",1,Twitter
250,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",-1,Twitter
251,@mysticnz no im not  cries LOL,1,Twitter
252,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,-1,Twitter
253,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp",0,Twitter
254,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,-1,Twitter
255,Come on Knight... It's been well over 4 hours,0,Twitter
256,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,-1,Twitter
257,@FoxxFiles aw u can't let me in on the secret!,1,Twitter
258,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",-1,Twitter
259,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",-1,Twitter
260,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",-1,Twitter
261,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,-1,Twitter
262,twittascope is NOT rocking my socks - go away already!!,1,Twitter
263,Driving Back home because I forgot the piece of cake for @v_era,0,Twitter
264,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,-1,Twitter
265,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",-1,Twitter
266,It's pissing me off and not letting me follow ericka,-1,Twitter
267,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,0,Twitter
268,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,-1,Twitter
269,@koifusionpdx i was so close to the tacos...one spot too late,0,Twitter
270,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,0,Twitter
271,is thinking so much and i'm at work,0,Twitter
272,I have forgot the live with the Jonas Brothers on Facebook,0,Twitter
273,I haven't seen Muffin in two whole days!,1,Twitter
274,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,-1,Twitter
275,my gap year is going so quick,0,Twitter
276,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",1,Twitter
277,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,1,Twitter
278,my twitter has been hacked again,0,Twitter
279,Just found mj mouse flats at DJs. Of course there are none left in my size,0,Twitter
280,@passingcarss i wont have time to buy  and i need a new binder pa,0,Twitter
281,@lanacaitlin  hahaha well its try its so ugly,-1,Twitter
282,25-man Ulduar is hard...,0,Twitter
283,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",-1,Twitter
284,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,1,Twitter
285,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],-1,Twitter
286,@princess_oats this is happening to me too,0,Twitter
287,@qi_tah oh no.  *hugs*,1,Twitter
288,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",-1,Twitter
289,@xoshayzers i knoww  things won't be the samee &lt,0,Twitter
290,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",1,Twitter
291,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,1,Twitter
292,"Okay, so twitter suddenly changed, how do I respond to messages now",0,Twitter
293,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,-1,Twitter
294,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,-1,Twitter
295,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,-1,Twitter
296,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,0,Twitter
297,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,-1,Twitter
298,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,-1,Twitter
299,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,-1,Twitter
300,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,1,Twitter
301,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",-1,Twitter
302,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,0,Twitter
303,@sillybabyjulie me too,0,Twitter
304,@digenis that story reminds of living in Portugal,0,Twitter
305,@jhicks  youre diabetic?   so is my dad.  &amp,0,Twitter
306,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,-1,Twitter
307,my roommate @tess_tickle loves to ignore me,1,Twitter
308,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,0,Twitter
309,@MyDailyRoutine yeahhh. &amp,1,Twitter
310,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",-1,Twitter
311,my teeth and head hurts,-1,Twitter
312,I HATE rob zombie movies. &amp,-1,Twitter
313,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",1,Twitter
314,Waiting in line @ tryst,0,Twitter
315,Hope I get a job cuz we need an apartment. I'm drunk &amp,1,Twitter
316,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,1,Twitter
317,I need to be held...  Gnite.,0,Twitter
318,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",-1,Twitter
319,no more arrested development. i am sad.,-1,Twitter
320,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",1,Twitter
321,omg i keep losing followers this is so sad  i want 90 one day....thats my goal,-1,Twitter
322,I feel so deflated. No more doggy.,0,Twitter
323,@blood_rain i wanna see her hair  hows everyone?,0,Twitter
324,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",-1,Twitter
325,im contacting PAWS Philippines so i can find &quot,0,Twitter
326,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,1,Twitter
327,Aww...  Pray for the arroyo family everyone!,1,Twitter
328,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,-1,Twitter
329,Fuuudge. Movie store is closed,1,Twitter
330,ALO is so sad and quiet and empty tonight,-1,Twitter
331,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",1,Twitter
332,@wuzzyangel You never answered your DM I sent you....   I need your info...,0,Twitter
333,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,0,Twitter
334,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,0,Twitter
335,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,-1,Twitter
336,@jose3030 I didn't think anyone caught that,0,Twitter
337,I need to be sleeping.. But i'm not even tired..,-1,Twitter
338,0,0,Twitter
339,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,0,Twitter
340,"lyin in bed, up faaaaar too early",1,Twitter
341,Sad that Christian Lacroix had to file bankruptcy,-1,Twitter
342,I dont feel good AT ALL. fuckkk,-1,Twitter
343,why did i agree to work a double shift,0,Twitter
344,looks like i'll never go to the zoo,1,Twitter
345,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,-1,Twitter
346,When will Medhurst play again?,0,Twitter
347,@Moss1982 bad times?,-1,Twitter
348,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,1,Twitter
349,Have to go to the dreaded DMV tomorrow,-1,Twitter
350,@duncm I'm a bit Ben's Thai-ed out,0,Twitter
351,english class! working on interactive orals,1,Twitter
352,@SharonHayes Thank you for the rec but that doesn't work,1,Twitter
353,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,1,Twitter
354,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,-1,Twitter
355,I don't know how ima work out tomorrow wit my body dis sore  ugh,-1,Twitter
356,in 7-11  w/o you,0,Twitter
357,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",0,Twitter
358,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,-1,Twitter
